mouse_id,family,population,acclimation,po2,temp,acclim1,sex,tissue,ID
LN.F1.113.b,LN113,LN,C,norm,cold,2,,gas,LN.F1.113.b.gas
LN.F1.113.b,LN113,LN,C,norm,cold,2,,lung,LN.F1.113.b.lung
LN.F1.113.p,LN113,LN,C,norm,cold,2,,gas,LN.F1.113.p.gas
LN.F1.113.p,LN113,LN,C,norm,cold,2,,lung,LN.F1.113.p.lung
LN.F1.132.af,LN132,LN,C,norm,cold,2,,gas,LN.F1.132.af.gas
LN.F1.132.af,LN132,LN,C,norm,cold,2,,lung,LN.F1.132.af.lung
LN.F1.132.ba,LN132,LN,C,norm,cold,2,,gas,LN.F1.132.ba.gas
LN.F1.132.ba,LN132,LN,C,norm,cold,2,,lung,LN.F1.132.ba.lung
LN.F1.132.bc,LN132,LN,C,norm,cold,2,,gas,LN.F1.132.bc.gas
LN.F1.132.bc,LN132,LN,C,norm,cold,2,,lung,LN.F1.132.bc.lung
ME.F1.134.a,ME134,ME,C,norm,cold,2,M,gas,ME.F1.134.a.gas
ME.F1.134.b,ME134,ME,C,norm,cold,2,M,gas,ME.F1.134.b.gas
ME.F1.139.af,ME139,ME,C,norm,cold,2,F,gas,ME.F1.139.af.gas
ME.F1.139.af,ME139,ME,C,norm,cold,2,F,lung,ME.F1.139.af.lung
ME.F1.139.ag,ME139,ME,C,norm,cold,2,F,gas,ME.F1.139.ag.gas
ME.F1.139.ag,ME139,ME,C,norm,cold,2,F,lung,ME.F1.139.ag.lung
ME.F1.140.af,ME140,ME,C,norm,cold,2,M,lung,ME.F1.140.af.lung
ME.F1.140.ag,ME140,ME,C,norm,cold,2,M,lung,ME.F1.140.ag.lung
ME.F1.145.ad,ME145,ME,C,norm,cold,2,F,gas,ME.F1.145.ad.gas
ME.F1.145.ad,ME145,ME,C,norm,cold,2,F,lung,ME.F1.145.ad.lung
ME.F1.145.i,ME145,ME,C,norm,cold,2,M,gas,ME.F1.145.i.gas
ME.F1.145.i,ME145,ME,C,norm,cold,2,M,lung,ME.F1.145.i.lung
LN.F1.113.aa,LN113,LN,CH,hypox,cold,3,M,gas,LN.F1.113.aa.gas
LN.F1.113.aa,LN113,LN,CH,hypox,cold,3,M,lung,LN.F1.113.aa.lung
LN.F1.113.ae,LN113,LN,CH,hypox,cold,3,M,gas,LN.F1.113.ae.gas
LN.F1.113.ae,LN113,LN,CH,hypox,cold,3,M,lung,LN.F1.113.ae.lung
LN.F1.113.ag,LN113,LN,CH,hypox,cold,3,M,gas,LN.F1.113.ag.gas
LN.F1.113.ag,LN113,LN,CH,hypox,cold,3,M,lung,LN.F1.113.ag.lung
LN.F1.113.z,LN113,LN,CH,hypox,cold,3,M,lung,LN.F1.113.z.lung
LN.F1.132.ai,LN132,LN,CH,hypox,cold,3,F,lung,LN.F1.132.ai.lung
